Point,RP,Stage,Site,MZ,Experiment,Block,Treatment,NNI,WDI,B2,B3,B4,B5,B6,B7,B8,B11,B12,B8A
159,SEB,V14,4,L,11,2,120N,0.827,0.624,0.0235,0.0409,0.0235,0.0573,0.257,0.385,0.3997,0.1581,0.0738,0.4074
160,SEB,V14,4,L,11,2,180N,0.914,0.706,0.0221,0.0404,0.0222,0.0571,0.2597,0.3961,0.4106,0.1544,0.07,0.4115
161,SEB,V14,4,L,11,2,0N,0.617,0.725,0.0241,0.0462,0.0276,0.0672,0.2589,0.3595,0.3781,0.1654,0.0822,0.3837
162,SEB,V14,4,L,11,4,0N,0.596,0.702,0.0225,0.041,0.0231,0.0565,0.2606,0.3802,0.3924,0.1602,0.0753,0.3999
163,SEB,V14,4,L,11,4,240N,0.863,0.786,0.0198,0.0354,0.0186,0.05,0.2573,0.4056,0.423,0.1535,0.0681,0.4294
164,SEB,V14,4,L,11,4,60N,0.813,0.824,0.0198,0.037,0.019,0.0506,0.2558,0.4042,0.4154,0.1522,0.0678,0.4218
165,SEB,V14,4,L,11,4,120N,0.811,0.78,0.0197,0.0357,0.0176,0.0494,0.2624,0.4116,0.4266,0.1505,0.0655,0.4333
166,SEB,V14,4,L,11,3,180N,0.968,0.669,0.0204,0.0391,0.0219,0.0544,0.2588,0.3964,0.4151,0.157,0.0712,0.4203
167,SEB,V14,4,L,11,3,120N,0.889,0.651,0.0229,0.0412,0.0223,0.0574,0.2606,0.3909,0.4081,0.158,0.0722,0.4153
168,SEB,V14,4,L,11,3,60N,0.755,0.604,0.0233,0.0425,0.0237,0.0588,0.2626,0.3861,0.4022,0.1582,0.0735,0.4071
169,SEB,V14,4,L,11,3,0N,0.574,0.579,0.0239,0.0449,0.0251,0.0633,0.258,0.3669,0.3814,0.1608,0.0757,0.391
170,SEB,V14,4,L,11,3,240N,0.877,0.658,0.0226,0.0415,0.0238,0.0594,0.2599,0.3857,0.4038,0.1614,0.0768,0.4106
1,NRP,R1,1,VH,1,1,180N,1.034,NA,0.0449,0.0692,0.0456,0.0896,0.2948,0.4143,0.4314,0.1845,0.0945,0.4365
2,NRP,R1,1,VH,1,1,240N,0.983,NA,0.0433,0.0628,0.0438,0.0863,0.2817,0.4133,0.4281,0.1858,0.0976,0.4334
